_id	month	neighborhood_municipality	bivalent_booster
160688	2023-08-01	Braddock	3
160689	2022-10-01	Braddock Hills	111
160690	2022-12-01	Braddock Hills	44
160691	2023-03-01	Braddock Hills	7
160692	2023-05-01	Braddock Hills	9
160693	2023-07-01	Braddock Hills	4
160694	2022-10-01	Bradford Woods	119
160695	2022-12-01	Bradford Woods	37
160696	2023-03-01	Bradford Woods	1
160697	2023-05-01	Bradford Woods	2
160698	2023-07-01	Bradford Woods	2
160699	2022-10-01	Brentwood	540
160700	2022-12-01	Brentwood	218
160701	2023-03-01	Brentwood	39
160702	2023-05-01	Brentwood	22
160703	2023-07-01	Brentwood	14
160704	2022-10-01	Brookline (Pittsburgh)	869
160705	2022-12-01	Brookline (Pittsburgh)	365
160706	2023-03-01	Brookline (Pittsburgh)	49
160707	2023-05-01	Brookline (Pittsburgh)	25
160708	2023-07-01	Brookline (Pittsburgh)	6
160709	2023-02-01	California-Kirkbride (Pittsburgh)	3
160710	2023-02-01	Carnegie	36
160711	2023-09-01	Carnegie	6
160712	2023-02-01	Carrick (Pittsburgh)	40
160713	2023-09-01	Carrick (Pittsburgh)	8
160714	2023-02-01	Castle Shannon	36
160715	2023-09-01	Castle Shannon	4
160716	2022-09-01	Central Business District (Pittsburgh)	88
160717	2022-12-01	Central Lawrenceville (Pittsburgh)	176
160718	2023-05-01	Central Lawrenceville (Pittsburgh)	14
160719	2023-07-01	Central Lawrenceville (Pittsburgh)	7
160720	2023-09-01	Central Northside (Pittsburgh)	4
160721	2023-02-01	Central Oakland (Pittsburgh)	16
160722	2022-09-01	Chalfant	6
160723	2022-11-01	Chalfant	33
160724	2023-01-01	Chalfant	10
160725	2023-04-01	Chalfant	4
160726	2022-09-01	Chartiers City (Pittsburgh)	7
160727	2022-11-01	Chartiers City (Pittsburgh)	22
160728	2023-01-01	Chartiers City (Pittsburgh)	10
160729	2023-04-01	Chartiers City (Pittsburgh)	1
160730	2022-11-01	Chateau (Pittsburgh)	6
160731	2023-01-01	Chateau (Pittsburgh)	1
160732	2023-01-01	Cheswick	25
160733	2023-04-01	Cheswick	10
160734	2023-06-01	Cheswick	3
160735	2023-08-01	Cheswick	1
160736	2023-02-01	Churchill	28
160737	2023-09-01	Churchill	8
160738	2022-10-01	Clairton	262
160739	2022-12-01	Clairton	101
160740	2023-03-01	Clairton	22
160741	2023-05-01	Clairton	20
160742	2023-07-01	Clairton	4
160743	2022-09-01	Collier	166
160744	2022-11-01	Collier	540
160745	2023-01-01	Collier	137
160746	2023-04-01	Collier	18
160747	2023-06-01	Collier	11
160748	2023-08-01	Collier	8
160749	2022-10-01	Coraopolis	309
160750	2022-12-01	Coraopolis	143
160751	2023-03-01	Coraopolis	10
160752	2023-05-01	Coraopolis	11
160753	2023-07-01	Coraopolis	4
160754	2022-10-01	Crafton	408
160755	2022-12-01	Crafton	165
160756	2023-03-01	Crafton	25
160757	2023-05-01	Crafton	14
160758	2023-07-01	Crafton	4
160759	2023-02-01	Crafton Heights (Pittsburgh)	18
160760	2023-09-01	Crafton Heights (Pittsburgh)	2
160761	2023-02-01	Crescent	11
160762	2023-09-01	Dormont	5
160763	2023-02-01	Duquesne	26
160764	2023-09-01	Duquesne	5
160765	2022-10-01	Duquesne Heights (Pittsburgh)	170
160766	2022-12-01	Duquesne Heights (Pittsburgh)	78
160767	2023-03-01	Duquesne Heights (Pittsburgh)	9
160768	2023-05-01	Duquesne Heights (Pittsburgh)	9
160769	2023-07-01	Duquesne Heights (Pittsburgh)	1
160770	2022-12-01	East Allegheny (Pittsburgh)	46
160771	2023-05-01	East Allegheny (Pittsburgh)	23
160772	2022-10-01	East Carnegie (Pittsburgh)	22
160773	2022-12-01	East Carnegie (Pittsburgh)	14
160774	2023-03-01	East Carnegie (Pittsburgh)	4
160775	2022-11-01	Crafton Heights (Pittsburgh)	185
160776	2023-01-01	Crafton Heights (Pittsburgh)	46
160777	2023-04-01	Crafton Heights (Pittsburgh)	18
160778	2022-10-01	Crawford-Roberts (Pittsburgh)	148
160779	2022-12-01	Crawford-Roberts (Pittsburgh)	66
160780	2023-03-01	Crawford-Roberts (Pittsburgh)	7
160781	2023-05-01	Crawford-Roberts (Pittsburgh)	8
160782	2023-07-01	Crawford-Roberts (Pittsburgh)	4
160783	2022-10-01	Crescent	126
160784	2022-12-01	Crescent	68
160785	2023-03-01	Crescent	12
160786	2023-05-01	Crescent	7
160787	2022-09-01	Dormont	127
160788	2022-11-01	Dormont	511
160789	2023-01-01	Dormont	143
160790	2023-04-01	Dormont	24
160791	2023-06-01	Dormont	8
160792	2023-08-01	Dormont	12
160793	2023-10-01	Dormont	1
160794	2022-10-01	Dravosburg	72
160795	2022-12-01	Dravosburg	40
160796	2023-03-01	Dravosburg	4
160797	2023-05-01	Dravosburg	2
160798	2022-09-01	Duquesne	18
160799	2022-11-01	Duquesne	122
160800	2023-01-01	Duquesne	49
160801	2023-04-01	Duquesne	17
160802	2023-06-01	Duquesne	9
160803	2023-08-01	Duquesne	4
